study_id	doi	pmid	year	species	taxon	stressor	stressor_category	conditioning_stage	dose_treatment	duration	generations	transmission	challenge	persistence_days	multiple_timepoints	decay	readouts	direction	effect_magnitude	molecular_layers	concordance	applied_framing	replication	evidence_source	editorial_notice	notes	cluster
DeMerlis_2025	10.1002/ece3.72108	41200252	2025	Acropora cervicornis; Pseudodiploria clivosa	Coral/cnidarian	elevated temperature applied as a diel-variable (thermally fluctuating) preconditioning regime	Temperature	Broodstock/adult	variable treatment: temperature raised from 28 C baseline to 31 C over 3 h, held at 31 C for 3 h, then returned to 28 C, TWICE PER DAY, vs stable 28 C control (baseline 28 C chosen as the average in situ temperature; 31 C selected as sublethal based on prior preconditioning studies)	28 d of twice-daily variability (after 30 d acclimation at 24 C and a 0.5 C/day ramp to 28 C)	F0	Within-generation only	rapid heat-stress assay applied immediately after the ex situ treatment	0	No	Not tested	host and Symbiodiniaceae gene expression (RNA-seq); thermal tolerance from the rapid heat-stress assay	Mixed	species-specific responses: A. cervicornis had a much greater transcriptional response than P. clivosa (583 vs 55 differentially expressed genes); in A. cervicornis key stress-response genes were significantly DOWN-regulated (peroxidases, nitric-oxide synthase, tumour necrosis factors) alongside UP-regulation of genes involved in histone modifications	Transcriptome (RNA-seq)	Not evaluated	Restoration	146-149 fragments per species (5 cm fragments); 8 x 90 L aquaria (4 variable, 4 control); fragments from each colony evenly distributed across tanks	Full text	None found	Directly targets assisted acclimatization for Florida restoration priority species using temperature VARIABILITY rather than a static offset. Two findings a lab should note: (1) receptiveness is strongly species-specific (10-fold difference in DEG count between the two species), and (2) up-regulation of HISTONE MODIFICATION genes during preconditioning is one of the few chromatin-level hints in the coral priming literature, worth following up with direct chromatin assays. Authors caution against scaling up before more species are tested.	Coral / cnidarian
Stick_2026	10.1002/ece3.72938	41542384	2026	Acropora cf. tenuis	Coral/cnidarian	elevated temperature (acute sub-bleaching heat priming)	Temperature	Broodstock/adult	priming at 32 C (+5 C above the 27 C regional maximum monthly mean) vs naive (no priming) vs control held at 27 C for the whole 5-day experiment; challenge at 33 C (+6 C above MMM); bleaching for these corals occurs at 34 C	priming applied as a single acute exposure (ramp 3 h up, 3 h hold, 2 h down; ~24 h total exposure window), 8 h at temperature	F0	Within-generation only	thermal challenge at 33 C (+6 C above MMM) for 8 h, followed by 16-24 h recovery at 27 C	2 (preconditioned corals held at control temperature for 48 h between priming and challenge)	Yes	Persisted	differentially expressed genes and expression intensity (host and symbiont RNA-seq); Fv/Fm; Coral Health Chart colour score and pigment analysis	Improved	primed corals showed a dampened stress response versus naive corals: a 28% decline in differentially expressed genes and an overall reduction in expression intensity relative to controls; symbionts showed the same dampening; both groups returned to baseline expression after a 16 h recovery at 27 C; no detectable decline in photosynthetic performance or visible physiological stress in either treatment	Transcriptome (RNA-seq)	Not evaluated	None	10 genotypes across 2 experimental blocks (5 colonies per block); 9 flow-through tanks per block (3x3x3 design, 3 replicates per temperature combination); 5 fragments per tank; 90 RNA samples; 120 fragments photographed for pigment scoring; 3 sampling timepoints (0 h, 6 h, 24 h)	Full text	None found	Cleanest short-window persistence measurement in the set: a single acute prime, a defined 48 h gap at control temperature, then a quantified 28% reduction in the transcriptional stress response. Molecular-only benefit - no physiological difference was detectable because neither treatment bleached, so the row documents transcriptional dampening rather than a performance gain. All colonies confirmed by SNP clustering to belong to a single cryptic lineage of Acropora cf. tenuis (Ningaloo Reef, Bundegi Reef), removing cryptic-species confounding.	Coral / cnidarian
Green_2013	10.1016/j.fsi.2013.04.051	23685009	2013	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic); heat-killed Vibrio splendidus as a comparison elicitor	Pathogen/immune	Juvenile	240 ug poly(I:C) per oyster by intramuscular injection vs sterile seawater injection	single injection, 1 d before challenge	F0	Within-generation only	OsHV-1 uvar injection challenge	1	No	Not tested	proportion of virus-infected oysters at 48 h post-infection; immune gene expression (TLR, MyD88, IRF, PKR)	Improved	11% of poly(I:C)-primed oysters OsHV-1-positive at 48 h post-infection vs 100% of seawater controls; priming with heat-killed V. splendidus gave no protection	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract only	None found	Foundational paper establishing the poly(I:C) antiviral state in C. gigas; effect measured as infection prevalence not survival; specificity shown by failure of a bacterial elicitor to protect against virus	Immune priming
Green_2016	10.1016/j.molimm.2016.09.002	27616590	2016	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Broodstock/adult	not reported (poly(I:C) injected into parents; dose not stated in the retrievable text; de Kantzow et al. 2023 lists 250 and 500 ug per oyster as doses used across this literature)	single parental injection before spawning	F0-F1	Route not resolved	OsHV-1 exposure of F1 D-veliger larvae	not reported	No	Not tested	F1 larval survival to OsHV-1; IRF2 mRNA in larvae; parental survival	Improved	Offspring of poly(I:C)-treated parents had double the chance of surviving OsHV-1 exposure vs controls; larval mortality at 96 h post-exposure halved relative to seawater-treated broodstock (as restated by de Kantzow et al. 2023); IRF2 mRNA elevated in larvae	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract + citations	None found	The foundational transgenerational immune priming (TGEP) paper; authors note poly(I:C) did not affect parental survival so the offspring effect cannot be genetic selection, and propose epigenetic reprogramming or maternal provisioning - but no methylation or chromatin assay was performed	Immune priming
Lafont_2017a	10.1038/s41598-017-13564-0	29030632	2017	Crassostrea gigas	Bivalve	poly(I:C) HMW (1.5-8 kb); also poly(I:C) LMW, GFP-dsRNA, OsHV-1 dsRNA and OsHV-1 ssRNA	Pathogen/immune	Juvenile	19 ug poly(I:C) HMW per g oyster flesh in 20-40 uL injected into the adductor muscle vs filtered seawater; dose-response run from 1.9 ng to 19 ug per g, protection detectable from 0.019 ug per g; bath route also effective at 0.76 and 0.38 ug/mL for 2.5 h	single injection	F0	Within-generation only	OsHV-1 uVar challenge by injection of viral suspension (titre not recoverable from the open-access text -- superscript exponent lost in conversion; consult the PDF before quoting a titre) at 1, 14, 28, 56 and 126 d post-priming	126	Yes	Persisted	survival (Kaplan-Meier, log-rank); OsHV-1 DNA load by qPCR; poly(I:C) persistence in seawater and haemolymph by immuno-northern blot (J2 anti-dsRNA)	Improved	Survival 89-96% in poly(I:C)-primed oysters at all five challenge timepoints from 1 to 126 d post-priming; in the nucleic-acid comparison poly(I:C) HMW gave 100% and LMW 97% survival vs 20% survival (80% mortality) in filtered-seawater controls; other nucleic acids 83-90%; viral DNA below qPCR detection limit in poly(I:C) groups	Targeted qPCR	Not evaluated	Aquaculture	3 replicate tanks per condition; 1200 spat primed per condition; 120 spat challenged per timepoint (plus 120 control-inoculum)	Full text	None found	Longest laboratory persistence window in the sub-literature. Critically, poly(I:C) itself was undetectable in haemolymph by 24 h and in seawater by 48 h, so protection at 126 d cannot be residual elicitor. Protection was virus-specific: poly(I:C)-primed oysters challenged with Vibrio crassostreae LGP32 reached only 13% survival vs 24% in controls. Results reproduced across cohorts of different genetic background	Immune priming
Lafont_2017b	10.1038/s41598-017-13564-0	29030632	2017	Crassostrea gigas	Bivalve	poly(I:C) HMW (synthetic dsRNA viral mimic)	Pathogen/immune	Juvenile	19 ug poly(I:C) HMW per g oyster (2016 deployment) or 10 ug per oyster (2015 deployment) by adductor-muscle injection vs filtered seawater or non-treated	single injection at 126, 99, 71 or 1 d before field deployment	F0	Within-generation only	natural OsHV-1 disease outbreak after deployment in the Thau lagoon, Mediterranean (2015 and 2016 seasons)	156	Yes	Persisted	survival during a natural outbreak; OsHV-1 DNA load by qPCR	Improved	2015 deployment: 80% survival in poly(I:C)-primed vs 29% in non-treated (+51 percentage points), survival maintained 119 d after immersion; 2016 deployment: 83-92% survival across all four priming lead times, protection maintained to the end of the experiment at 156 d (>5 months); viral loads reduced but detectable in primed oysters from 14 d post-immersion	Targeted qPCR	Not evaluated	Aquaculture	100 oysters per condition for mortality monitoring plus 72 for sampling; two independent deployments in successive years	Full text	None found	The only field/natural-outbreak validation of immune priming in a marine invertebrate, and the longest protection duration reported anywhere in this literature (156 d). Mortality in controls only began 30 d after immersion, so the field window includes both a long priming interval and a long observation period	Immune priming
Lafont_2018	10.1016/j.dci.2018.09.022	30278186	2018	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Broodstock/adult	not reported (poly(I:C) exposure of mothers and of fathers separately prior to spawning; dose not stated in retrievable text)	single parental exposure before spawning	F0-F1	Maternal	OsHV-1 exposure of F1 larvae	not reported	No	Not tested	F1 larval survival to OsHV-1; F1 larval transcriptome (RNA-seq) in unchallenged larvae	Improved	Larvae had higher survival to OsHV-1 when mothers, but not fathers, were exposed to poly(I:C) before spawning (percentages not in the retrievable text); RNA-seq gave no evidence that parental poly(I:C) exposure reconfigures antiviral gene expression in unchallenged larvae	Transcriptome (RNA-seq)	Discordant (survival phenotype present but no corresponding transcriptomic reconfiguration in unchallenged larvae)	Aquaculture	not reported	Abstract only	None found	Resolves the transmission route of oyster TGIP as maternal, not paternal. A rare explicit phenotype/molecular discordance: the authors conclude maternal provisioning of antiviral compounds in eggs is more likely than transcriptional or epigenetic reprogramming	Immune priming
Lafont_2020	10.1128/mBio.02777-19	32156821	2020	Crassostrea gigas	Bivalve	poly(I:C) HMW (synthetic dsRNA viral mimic)	Pathogen/immune	Juvenile	19 ug poly(I:C) HMW per g oyster in 40 uL injected into the adductor muscle vs filtered seawater; oysters were a biparental family (F11) 100% susceptible to POMS	single injection; animals held at 15 C	F0	Within-generation only	OsHV-1 injection challenge at 10 d post-priming (1.32 x 10^n copies DP gene per oyster) in the short-term arm and at 126 d post-priming (1.22 x 10^n copies DP gene per uL) in the long-term arm	126	Yes	Persisted	survival (Kaplan-Meier, log-rank); OsHV-1 DNA load by qPCR and viral transcript counts from RNA-seq; host hemocyte/whole-animal transcriptome at 1, 14, 56 and 126 d post-priming	Improved	10 d arm: 100% survival in poly(I:C)-primed vs 5% in filtered-seawater controls at 10 d post-challenge (+95 percentage points, log-rank p<0.0001, n=60); viral DNA load 200-fold lower at 1 d post-challenge. 126 d arm: significant survival advantage retained (log-rank p<0.0001, n=45); sustained upregulation of interferon-pathway and apoptosis genes maintained over 4 months	Transcriptome (RNA-seq); Targeted qPCR	Concordant	Aquaculture	4 replicate 5-L tanks per condition; 15 oysters per tank for survival (n=60) plus 75 per tank for sampling; long-term arm 45 oysters (15 per tank, 3 tanks); 3 pools of 15 (short arm) or 3 pools of 3 (long arm) per sampling point	Full text	None found	Mechanistic anchor for the sustained-response model: priming reverses a genetically POMS-susceptible family from susceptible to resistant. Notably the elevated immune baseline did NOT produce a strong secondary response on infection - it is a persistent alert state, not a recall response. No survival cost detected over the 4-month priming period, in contrast to the larval costs reported by Robinson & Green 2020	Immune priming
Robinson_2020	10.1016/j.fsi.2020.04.047	32334127	2020	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Broodstock/adult	not reported (poly(I:C) treatment of mothers; dose not stated in the retrievable text)	single maternal treatment before spawning	F0-F1	Maternal	none (baseline only) - offspring traits measured without pathogen challenge; the OsHV-1 survival benefit is taken from prior work	not reported	No	Not tested	F1 larval size; total bacterial load and Vibrio load in larvae (microbiome)	Worsened	Larvae produced from poly(I:C)-treated mothers were smaller and carried higher total bacterial and Vibrio loads than control larvae (magnitudes not in the retrievable text)	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract only	None found	The key trade-off paper in this sub-literature: the maternal antiviral priming benefit is paid for in larval growth rate and microbiome destabilisation. Directly opposes Cheng et al. 2024, where inactivated-Vibrio priming of oyster larvae accelerated growth and settlement	Immune priming
de_Kantzow_2023a	10.3390/v15091943	37766349	2023	Crassostrea gigas	Bivalve	poly(I:C) (synthetic dsRNA viral mimic)	Pathogen/immune	Juvenile	250 ug poly I:C per oyster in 50 uL injected into the adductor muscle vs 50 uL sterile artificial seawater and vs OsHV-1-free oyster tissue homogenate; triploid spat 20-30 mm	single injection; 14 d at 18 C then temperature raised to 22 C over 6 h	F0	Within-generation only	injection of virulent OsHV-1 (6 x 10^n genome copies per oyster) at 22 C, 21 d (3 weeks) after priming; monitored 14 d	21	No	Not tested	cumulative mortality over 14 d post-challenge with PCR confirmation; OsHV-1 DNA concentration at death and in survivors; OsHV-1 prevalence in survivors	Improved	0% mortality in the poly I:C group vs 53% in the sterile-seawater control and 55% in the tissue-homogenate control; hazard ratio 0.02 (Cox PH, tank as random effect); OsHV-1 DNA undetectable in all poly I:C survivors vs 70% prevalence in seawater-primed survivors (odds ratio 0.02)	Targeted qPCR	Not evaluated	Aquaculture	80 oysters per treatment group; 20 oysters per tank; 4 water baths of 6 tanks; sample size powered at 80% for HR 4	Full text	None found	Only study to benchmark poly I:C directly against live and inactivated virus in one design. Authors flag that poly I:C is unlikely to be acceptable in food oysters given mammalian toxicity (mortality at 30 mg/kg in rhesus monkeys, 5 mg/kg in beagles) and that duration of protection and residue/withholding data are absent	Immune priming
de_Kantzow_2023b	10.3390/v15091943	37766349	2023	Crassostrea gigas	Bivalve	heat-inactivated OsHV-1 (50 C for 20 min); sublethal infectious OsHV-1 administered at a non-permissive 18 C	Pathogen/immune	Juvenile	3 x 10^n OsHV-1 genome copies per oyster in 50 uL injected into the adductor muscle, either heat-inactivated or infectious, vs 50 uL sterile artificial seawater and vs OsHV-1-free tissue homogenate	single injection; 14 d at 18 C then temperature raised to 22 C	F0	Within-generation only	injection of virulent OsHV-1 (6 x 10^n genome copies per oyster) at 22 C, 21 d after priming; monitored 14 d	21	No	Not tested	cumulative mortality over 14 d post-challenge; mortality during the 21 d priming phase; OsHV-1 DNA load and prevalence in survivors	Improved	Cumulative mortality 26.7% with heat-inactivated OsHV-1 (hazard ratio 0.41, relative percent survival 51.5%) and 12.8% with infectious OsHV-1 (HR 0.18, RPS 76.8%) vs 53% in the sterile-seawater control; 12.5% (95% CI 8.2-18.6) mortality occurred during the priming phase in the infectious group only, and none in any other group	Targeted qPCR	Not evaluated	Aquaculture	80 oysters per treatment (160 for the infectious-OsHV-1 group to allow for priming mortality); 20 oysters per tank	Full text	None found	Establishes that viral replication is NOT required to induce protection (heat-inactivated virus worked), but that live priming is stronger than inactivated, implying an additional replication-dependent (e.g. RNAi) component on top of the PAMP effect. Inactivated virus avoids the 12.5% priming mortality and the biosecurity risk of moving infected stock	Immune priming
Matsuyama_2026	10.3390/pathogens15040380	42075707	2026	Pinctada fucata	Bivalve	sublethal live Pinctada birnavirus (PiBV) infection at a non-permissive low water temperature	Pathogen/immune	Juvenile	PiBV 4.4 x 10^n copies per container, 1 h static immersion of approximately 370 acclimated juveniles, at low water temperature 18-20 C (non-lethal) vs uninfected controls; high-temperature 24-25 C controls used to show lethality	1 h immersion; then 28 d at 18-20 C before acclimation to 24-25 C over 7 d	F0	Within-generation only	re-infection with PiBV (8.7 x 10^n copies per dish, 1 h immersion) at 24-25 C, 35 d after the first infection; mortality followed 22 d; plus ex vivo PiBV challenge of mantle explants from survivors at 96 d post-infection	35	Yes	Persisted	cumulative mortality; mantle atrophy; PiBV load in tissue and viral shedding into seawater; PiBV replication in ex vivo mantle explants; transcriptome at 28 d post-infection	Improved	10% mortality in previously infected survivors vs approximately 50% in naive oysters challenged under identical high-temperature conditions (-40 percentage points, significant); first infection at 24-25 C in naive juveniles caused approximately 80% mortality whereas mortality at 18-20 C was <30% and not different from uninfected controls; PiBV replication significantly reduced in mantle explants from previously infected oysters	Transcriptome (RNA-seq)	Partial	Aquaculture	3 subgroups of 20 individuals per group in the re-infection trial; 50 oysters per 8 L aquarium in the first infection; mantle explants from individual oysters in 48-well plates	Full text	None found	Only non-herpesvirus bivalve virus system in this table and the only one showing tissue-autonomous resistance: mantle explants alone resisted PiBV. Important caveat the authors raise themselves - culture supernatants of survivor explants were PiBV-RNA-positive without inoculation, so persistent low-level infection may sustain the primed state rather than true immune memory. Interferon-like genes showed no appreciable change, so the mechanism is unresolved	Immune priming
BenCheikh_2026	10.1016/j.fsi.2026.111499	42288298	2026	Mytilus edulis	Bivalve	live or heat-killed Vibrio splendidus	Pathogen/immune	Broodstock/adult	not reported (live vs heat-killed V. splendidus exposure; concentration not stated in the retrievable text)	single priming exposure	F0	Within-generation only	live Vibrio splendidus challenge; plus adoptive transfer of cell-free plasma or haemocytes from primed to naive mussels	21	Yes	Persisted	survival; total haemocyte concentration; haemocyte population profiles; phagocytic activity; lysosomal function; ROS production; adoptive-transfer protection of naive recipients	Improved	Markedly higher survival during subsequent bacterial challenge with protection lasting at least 21 days (percentages not in the retrievable text); both cell-free plasma and haemocytes from primed mussels conveyed protection to naive individuals; sustained increase in total haemocyte concentration, altered phagocytosis, enhanced lysosomal function and a biphasic ROS pattern	None	Not evaluated	Aquaculture	not reported	Abstract only	None found	First demonstration of immune priming in the blue mussel and the first transferable (adoptive) immune memory in a bivalve - protection resides in both a humoral and a cellular compartment. Live and heat-killed bacteria triggered distinct cellular responses, implying different activation pathways for the same protective outcome	Immune priming
Li_2025b	10.1016/j.fsi.2025.110186	39938621	2025	Mytilus coruscus	Bivalve	repeated sublethal Vibrio alginolyticus challenge	Pathogen/immune	Broodstock/adult	not reported (repeated V. alginolyticus challenge; concentration not stated in the retrievable text)	repeated challenges (interval not stated in the retrievable text)	F0	Within-generation only	live Vibrio alginolyticus challenge	not reported	Yes	Not tested	mortality rate and timing; haemocyte viability; pathogen recognition, inflammatory and apoptosis responses; antioxidant enzyme responses; tissue-specific analysis of haemocytes, gill and digestive gland	Improved	Immune-primed mussels showed slower mortality and maintained higher haemocyte viability than non-primed mussels (magnitudes not in the retrievable text)	Targeted qPCR	Partial (gill showed immune tolerance while digestive gland showed sustained immune and antioxidant responses - the two tissues diverged)	Aquaculture	not reported	Abstract only	None found	Best evidence in the bivalve literature that the primed state is tissue-specific rather than systemic and uniform: gill tolerised while digestive gland sustained both immune and antioxidant responses. A caution against whole-animal molecular readouts of priming	Immune priming
Li_2025a	10.1016/j.fsi.2025.110263	40064211	2025	Ruditapes philippinarum	Bivalve	sublethal Vibrio anguillarum injection	Pathogen/immune	Broodstock/adult	not reported (V. anguillarum injection vs PBS injection control; concentration not stated in the retrievable text)	single injection	F0	Within-generation only	second Vibrio anguillarum injection 7 d after the first (AA group) vs PBS-primed then challenged (SS/SA controls)	7	No	Not tested	survival (log-rank); hepatopancreas bacterial load; alkaline and acid phosphatase, SOD and MDA activities; hepatopancreas transcriptome	Improved	Survival of the twice-injected AA group significantly higher than all control groups after the second injection (log-rank p<0.05); pathogen clearance from hepatopancreas significantly enhanced; AKP, ACP, SOD and MDA all significantly higher after secondary than after primary stimulation	Transcriptome (RNA-seq)	Concordant (84 DEGs commonly upregulated after both primary and secondary stimulation, including C-type mannose receptor 2, ATG12 and TLR4)	Aquaculture	not reported	Abstract only	None found	First evidence of immune priming in the Manila clam; uses the same 7-day priming window that recurs across the bivalve and crustacean literature, suggesting a de facto field convention rather than an empirically optimised interval	Immune priming
Cheng_2024	10.1016/j.fsi.2024.110041	39586384	2024	Crassostrea gigas	Bivalve	inactivated Vibrio splendidus	Pathogen/immune	Larva	not reported (inactivated V. splendidus stimulation of middle-umbo larvae at 10 days post-fertilisation; concentration not stated in the retrievable text)	single stimulation at 10 dpf	F0	Within-generation only	live Vibrio splendidus challenge of late-umbo larvae (18 dpf) or pediveliger larvae (21 dpf)	8	Yes	Persisted	larval death rate at two later stages; immune receptor and effector gene expression (CTL-3, Integrin beta-1, TLR4, IKK, IL17-5, Defh2, HSP70); SOD, CAT and lysozyme activities; agglutination and growth inhibition of V. splendidus by larval proteins; shell height and length, development rate, settlement rate	Improved	Much lower death rate in the stimulated group than controls when challenged at either 18 dpf (8 d post-priming) or 21 dpf (11 d post-priming); significantly increased shell height and length, accelerated development rate and higher settlement rate in primed larvae (magnitudes not in the retrievable text)	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract only	None found	Ontogenic priming across larval stages, with two post-priming challenge timepoints (8 and 11 d). Notably priming IMPROVED growth, development and settlement rather than costing them - the direct opposite of the poly(I:C) maternal-priming cost reported by Robinson & Green 2020, suggesting the trade-off depends on elicitor and stage	Immune priming
Wang_2023	10.1016/j.dci.2023.105122	38104703	2023	Crassostrea gigas	Bivalve	low-dose formalin-inactivated Vibrio alginolyticus; compared with live Vibrio alginolyticus priming	Pathogen/immune	Multiple	low-dose formalin-inactivated V. alginolyticus at 5 x 10^n and 5 x 10^n CFU/mL (exponents not recoverable from the indexed text); the trans-generational arm used immersion at 5 x 10^n CFU/mL; live V. alginolyticus priming tested as a comparison	single priming exposure (injection or immersion)	F0-F1	Route not resolved	secondary Vibrio alginolyticus infection of primed adults; challenge of F1 larvae with several different Vibrio species	not reported	No	Not tested	adult mortality; haemocyte ROS level and necrosis; F1 larval resistance to multiple Vibrio species	Mixed	Low-dose formalin-inactivated V. alginolyticus protected adults against secondary V. alginolyticus infection; priming with LIVE V. alginolyticus instead raised ROS, caused haemocyte necrosis and produced HIGHER late-stage mortality (a maladaptive outcome); trans-generational priming significantly increased larval resistance to various Vibrio species	Targeted qPCR	Not evaluated	Aquaculture	not reported	Abstract only	None found	Dose and elicitor form are decisive: live-pathogen priming was actively harmful while low-dose inactivated priming was protective - one of the few explicit maladaptive priming results in this literature. Offspring protection was broad-spectrum across Vibrio species rather than strain-specific, which conflicts with the specificity reported by Zuo et al. 2025 and Pope et al. 2011	Immune priming
Song_2025	10.3389/fimmu.2025.1536562	40458402	2025	Crassostrea gigas	Bivalve	live Vibrio splendidus injection of gonad-matured parents	Pathogen/immune	Broodstock/adult	100 uL of Vibrio splendidus suspension at 2 x 10^n CFU/mL injected into gonad-matured adults vs an equal volume of sterile seawater; maternal and paternal priming tested in separate arms	single injection; artificial spawning and fertilisation performed 7 d post-priming	F0-F1	Both parents	Vibrio splendidus exposure of embryos/larvae at 1 x 10^n CFU/mL from the blastula stage (4.5 h post-fertilisation)	7	Yes	Persisted	egg lysozyme, SOD, NO and glucose; egg antibacterial activity; larval mortality and hatching rate; CAT, lysozyme and SOD through early ontogeny; larval transcriptome; DNMT1, DNMT3a and DNMT3b expression; E3 ligase expression	Improved	Larval mortality significantly lower and hatching rate significantly higher in both maternal (mVs-Vs) and paternal (pVs-Vs) primed groups than in naive-parent challenged controls (nSw-Vs); egg lysozyme activity 0.486 ug/mL in maternally primed vs 0.28 ug/mL in controls (p<0.05); egg SOD, NO and glucose all significantly elevated at 7 d post-priming	Transcriptome (RNA-seq); Targeted qPCR	Partial (maternal arm showed both enzyme and gene-expression changes; paternal arm showed gene-expression changes with no detectable enzyme changes)	Aquaculture	160 gonad-matured adults split across 2 priming groups; approximately 3,000,000 embryos per tank; 3 biological replicates each pooled from 3 parallel samples	Full text	None found	First bacteria-induced TGIP in a mollusc, and the closest any paper in this set comes to an epigenetic mechanism for transgenerational priming: all three DNMTs were significantly upregulated during early ontogeny in maternally primed offspring and rose sharply only at the D-veliger stage in paternally primed offspring. CRITICAL CAVEAT - DNA methylation itself was never measured, only DNMT transcript abundance	Immune priming
Zuo_2025	10.1016/j.fsi.2025.111073	41407080	2025	Crassostrea gigas	Bivalve	sublethal Vibrio splendidus vs Staphylococcus aureus pre-stimulation	Pathogen/immune	Broodstock/adult	not reported (V. splendidus or S. aureus pre-stimulation; concentration and route not stated in the retrievable text)	single pre-stimulation	F0	Within-generation only	secondary Vibrio splendidus stimulation	not reported	No	Not tested	haemocyte phagocytic activity against V. splendidus, S. aureus and inert fluorescent microspheres; CgbetaGBP2, CgC1qDC-8, CgRab24, CgBigdefensin1 and CgBigdefensin2 expression; NO level; lysozyme in hepatopancreas and cell-free haemolymph; haemolymph growth-inhibition assay; histone marks H3K4me1, H3K4me3, H3K9ac and H3K27ac	Improved	Phagocytic activity against V. splendidus (but not against S. aureus or inert microspheres) significantly higher in V. splendidus-primed than in S. aureus-primed oysters; CgbetaGBP2, CgC1qDC-8, CgRab24, CgBigdefensin1/2 and NO all significantly up; lysozyme up in hepatopancreas and cell-free haemolymph with stronger inhibition of V. splendidus growth; first stimulation with EITHER microbe significantly increased H3K4me1, H3K4me3, H3K9ac and H3K27ac	Chromatin; Targeted qPCR	Partial (the functional protection was pathogen-specific whereas the global histone-mark increase was induced equally by the non-protective Gram-positive microbe)	None	not reported	Abstract only	None found	Strongest evidence for pathogen specificity of the functional priming response in an oyster. But because bulk histone marks rose equally after a microbe that conferred no protection, global chromatin marks cannot be the carrier of that specificity - promoter-level resolution (as in Lian et al. 2024) is required	Immune priming
Arfatahery_2024	10.1016/j.dci.2024.105221	38925430	2024	Magallana (Crassostrea) gigas	Bivalve	sublethal dose of a sympatric or an allopatric Vibrio splendidus strain	Pathogen/immune	Broodstock/adult	sublethal dose of bacterial cells of two closely related V. splendidus strains differing in virulence, one isolated at the same location as the oysters (sympatric) and one from a different location (allopatric); concentrations not stated in the retrievable text	single priming exposure	F0	Within-generation only	potentially lethal dose of sympatric or allopatric Vibrio splendidus, assessed both in vitro on cell-free haemolymph plasma and in vivo	not reported	No	Not tested	in vitro bacterial growth in cell-free haemolymph plasma; in vivo bacterial loads	Mixed	Priming produced inhibitory effects on subsequent bacterial growth in vitro, strongest when primed with the sympatric strain but with partial cross-protection against the allopatric strain; addition of haemolymph plasma generally promoted growth of both strains; in vivo bacterial loads INCREASED after the initial challenge, contradicting the in vitro result	None	Discordant (in vitro humoral priming effect was not reflected in the in vivo infection data)	None	not reported	Abstract + citations	None found	Essential negative/discordant result for the field: an in vitro priming signal did not translate into in vivo protection. Also the only test of local adaptation in priming specificity - stronger priming against the co-occurring strain suggests a host-pathogen co-evolutionary component	Immune priming
Lian_2024	10.3390/ijms25021036	38256110	2024	Crassostrea gigas	Bivalve	inactivated Vibrio splendidus	Pathogen/immune	Broodstock/adult	not reported (inactivated V. splendidus for primary stimulation, live V. splendidus for secondary; concentrations not stated in the retrievable text); pharmacological arms used the histone methyltransferase inhibitor 5-methylthioadenosine (MTA) and the histone demethylase inhibitor monomethyl fumarate (MEF)	single primary stimulation	F0	Within-generation only	secondary Vibrio splendidus stimulation 7 d after the primary stimulation	7	Yes	Persisted	CgTLR3, CgMyD88-2 and CgIL17-1 expression at 6 h after primary vs 6 h after secondary stimulation; H3K4me3 ChIP enrichment at the CgTLR3 promoter at 7 d post-priming; inhibitor rescue experiments	Improved	CgTLR3, CgMyD88-2 and CgIL17-1 expression at 6 h after secondary stimulation significantly higher than at 6 h after primary (p<0.05); H3K4me3 enrichment at the CgTLR3 promoter significantly increased at 7 d after primary stimulation with inactivated V. splendidus (p<0.05); MTA reduced both the mark and the secondary-response gene expression (p<0.05) while MEF increased both (p<0.05)	Chromatin; Targeted qPCR	Concordant	None	not reported	Abstract only	None found	The clearest causal epigenetic evidence in any bivalve: a specific histone mark deposited at a named promoter during the 7-day priming window is both necessary (MTA) and sufficient-enhancing (MEF) for the amplified secondary response. Limitation - no survival or organismal protection endpoint; the phenotype is gene expression only	Immune priming
